Afore,Period,mutual_funds_current,mutual_funds_historical,mutual_funds_growth_rate,mutual_funds_absolute_change,third_party_current,third_party_historical,third_party_growth_rate,third_party_absolute_change,total_active_current,total_active_historical,total_active_growth_rate,total_active_absolute_change,current_period
Azteca,MoM,716819100.0,715414617.0,0.2,1404483.0,0.0,0.0,0.0,0.0,716819100.0,715414617.0,0.2,1404483.0,2025-07
Banamex,MoM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Coppel,MoM,235892150.0,235429976.0,0.2,462174.0,0.0,0.0,0.0,0.0,235892150.0,235429976.0,0.2,462174.0,2025-07
Inbursa,MoM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Invercap,MoM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
PensionISSSTE,MoM,0.0,0.0,0.0,0.0,216659670.0,216235169.0,0.2,424501.0,216659670.0,216235169.0,0.2,424501.0,2025-07
Principal,MoM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Profuturo,MoM,697017670.0,680442820.0,2.44,16574850.0,0.0,0.0,0.0,0.0,697017670.0,680442820.0,2.44,16574850.0,2025-07
SURA,MoM,1912894780.0,1931002180.0,-0.94,-18107400.0,0.0,0.0,0.0,0.0,1912894780.0,1931002180.0,-0.94,-18107400.0,2025-07
XXI Banorte,MoM,487594470.0,486639128.0,0.2,955342.0,1545604870.0,1500859007.0,2.98,44745863.0,2033199340.0,1987498135.0,2.3,45701205.0,2025-07
Azteca,YTD,716819100.0,559930035.0,28.02,156889065.0,0.0,0.0,0.0,0.0,716819100.0,559930035.0,28.02,156889065.0,2025-07
Banamex,YTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Coppel,YTD,235892150.0,213309784.0,10.59,22582366.0,0.0,0.0,0.0,0.0,235892150.0,213309784.0,10.59,22582366.0,2025-07
Inbursa,YTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Invercap,YTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
PensionISSSTE,YTD,0.0,0.0,0.0,0.0,216659670.0,195918455.0,10.59,20741215.0,216659670.0,195918455.0,10.59,20741215.0,2025-07
Principal,YTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Profuturo,YTD,697017670.0,609641620.0,14.33,87376050.0,0.0,0.0,0.0,0.0,697017670.0,609641620.0,14.33,87376050.0,2025-07
SURA,YTD,1912894780.0,1800165162.0,6.26,112729618.0,0.0,0.0,0.0,0.0,1912894780.0,1800165162.0,6.26,112729618.0,2025-07
XXI Banorte,YTD,487594470.0,440916186.0,10.59,46678284.0,1545604870.0,1359843447.0,13.66,185761423.0,2033199340.0,1800759633.0,12.91,232439707.0,2025-07
Azteca,1Y,716819100.0,625843829.0,14.54,90975271.0,0.0,0.0,0.0,0.0,716819100.0,625843829.0,14.54,90975271.0,2025-07
Banamex,1Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Coppel,1Y,235892150.0,238420167.0,-1.06,-2528017.0,0.0,0.0,0.0,0.0,235892150.0,238420167.0,-1.06,-2528017.0,2025-07
Inbursa,1Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Invercap,1Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
PensionISSSTE,1Y,0.0,0.0,0.0,0.0,216659670.0,208594521.0,3.87,8065149.0,216659670.0,208594521.0,3.87,8065149.0,2025-07
Principal,1Y,0.0,111394159.0,-100.0,-111394159.0,0.0,0.0,0.0,0.0,0.0,111394159.0,-100.0,-111394159.0,2025-07
Profuturo,1Y,697017670.0,596176161.0,16.91,100841509.0,0.0,0.0,0.0,0.0,697017670.0,596176161.0,16.91,100841509.0,2025-07
SURA,1Y,1912894780.0,1886835437.0,1.38,26059343.0,0.0,0.0,0.0,0.0,1912894780.0,1886835437.0,1.38,26059343.0,2025-07
XXI Banorte,1Y,487594470.0,845224610.0,-42.31,-357630140.0,1545604870.0,1457836774.0,6.02,87768096.0,2033199340.0,2303061385.0,-11.72,-269862045.0,2025-07
Azteca,3Y,716819100.0,649732664.0,10.33,67086436.0,0.0,0.0,0.0,0.0,716819100.0,649732664.0,10.33,67086436.0,2025-07
Banamex,3Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Coppel,3Y,235892150.0,0.0,inf,235892150.0,0.0,0.0,0.0,0.0,235892150.0,0.0,inf,235892150.0,2025-07
Inbursa,3Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Invercap,3Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
PensionISSSTE,3Y,0.0,0.0,0.0,0.0,216659670.0,190639718.0,13.65,26019952.0,216659670.0,190639718.0,13.65,26019952.0,2025-07
Principal,3Y,0.0,72477448.0,-100.0,-72477448.0,0.0,0.0,0.0,0.0,0.0,72477448.0,-100.0,-72477448.0,2025-07
Profuturo,3Y,697017670.0,211651921.0,229.32,485365749.0,0.0,0.0,0.0,0.0,697017670.0,211651921.0,229.32,485365749.0,2025-07
SURA,3Y,1912894780.0,1467509895.0,30.35,445384885.0,0.0,0.0,0.0,0.0,1912894780.0,1467509895.0,30.35,445384885.0,2025-07
XXI Banorte,3Y,487594470.0,743410858.0,-34.41,-255816388.0,1545604870.0,1054095625.0,46.63,491509245.0,2033199340.0,1797506483.0,13.11,235692857.0,2025-07
Azteca,5Y,716819100.0,201060464.0,256.52,515758636.0,0.0,0.0,0.0,0.0,716819100.0,201060464.0,256.52,515758636.0,2025-07
Banamex,5Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Coppel,5Y,235892150.0,0.0,inf,235892150.0,0.0,0.0,0.0,0.0,235892150.0,0.0,inf,235892150.0,2025-07
Inbursa,5Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Invercap,5Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
PensionISSSTE,5Y,0.0,0.0,0.0,0.0,216659670.0,319185411.0,-32.12,-102525741.0,216659670.0,319185411.0,-32.12,-102525741.0,2025-07
Principal,5Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07
Profuturo,5Y,697017670.0,0.0,inf,697017670.0,0.0,0.0,0.0,0.0,697017670.0,0.0,inf,697017670.0,2025-07
SURA,5Y,1912894780.0,600635580.0,218.48,1312259200.0,0.0,0.0,0.0,0.0,1912894780.0,600635580.0,218.48,1312259200.0,2025-07
XXI Banorte,5Y,487594470.0,298924555.0,63.12,188669915.0,1545604870.0,1292278557.0,19.6,253326313.0,2033199340.0,1591203112.0,27.78,441996228.0,2025-07
